26,eight888,1005555555,user,bladyughfoulmoecklenburgwhurawhorascortastrumpapornanennykocksapastippatappatupperstrippuckputtanach,9987654323,email@uta.edu,AAA7676,Please correct the following errors,,,,Your password should be 8 characters minumimum and 16 characters maximum,,,
27,eight888,1005555555,user,password////1234,9987654323,email@uta.edu,AAA7676,Please correct the following errors,,,,Allowed : letters numbers and one or more of the following characters: !@#$%,,,
28,eight888,1005555555,user,paord!++,9987654323,email@uta.edu,AAA7676,Please correct the following errors,,,,Allowed : letters numbers and one or more of the following characters: !@#$%,,,
29,eight888,1005555555,user,pa44word$,9987654323,email@uta.edu,AAA7676,,,,,,,,
30,eight888,1005555555,user,pa44word$,,email@uta.edu,AAA7676,Please correct the following errors,,,,,You must provide a phone number.,,
31,eight888,1005555555,user,pa44word$,notANumber,email@uta.edu,AAA7676,Please correct the following errors,,,,,Phone should be a number.,,
32,eight888,1005555555,user,pa44word$,123456789,email@uta.edu,AAA7676,Please correct the following errors,,,,,Phone should be 10 digits exactly.,,
33,eight888,1005555555,user,pa44word$,12345678911,email@uta.edu,AAA7676,Please correct the following errors,,,,,Phone should be 10 digits exactly.,,
34,eight888,1005555555,user,pa44word$,1,email@uta.edu,AAA7676,Please correct the following errors,,,,,Phone should be 10 digits exactly.,,
35,eight888,1005555555,user,pa44word$,2147483647,email@uta.edu,AAA7676,,,,,,,,
36,eight888,1005555555,user,pa44word$,1234567890,email@uta.edu,AAA7676,,,,,,,,
37,eight888,1005555555,user,pa44word$,1234567890,,AAA7676,Please correct the following errors,,,,,,You must provide an email.,
38,eight888,1005555555,user,pa44word$,1234567890,seven6,AAA7676,Please correct the following errors,,,,,,Your email should be 7 characters minumimum and 45 characters maximum,
39,eight888,1005555555,user,pa44word$,1234567890,LittleLuliagoestochurchforthefirsttimeeverwaww,AAA7676,Please correct the following errors,,,,,,Your email should be 7 characters minumimum and 45 characters maximum,
40,eight888,1005555555,user,pa44word$,1234567890,h,AAA7676,Please correct the following errors,,,,,,Your email should be 7 characters minumimum and 45 characters maximum,
41,eight888,1005555555,user,pa44word$,1234567890,bladyughfoulmoecklenburgwhurawhorascortastrumpapornanennykocksapastippatappatupperstrippuckputtanach,AAA7676,Please correct the following errors,,,,,,Your email should be 7 characters minumimum and 45 characters maximum,
42,eight888,1005555555,user,pa44word$,1234567890,LittleLuliagoestochurchforthefirsttime@ok.com,AAA7676,Please correct the following errors,,,,,,.edu domain only. Alphanumeric and . only,
43,eight888,1005555555,user,pa44word$,1234567890,/@ok.co,AAA7676,Please correct the following errors,,,,,,.edu domain only. Alphanumeric and . only,
44,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,AAA7676,,,,,,,,
45,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,,Please correct the following errors,,,,,,,You must provide a license plate number.
46,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,123456,Please correct the following errors,,,,,,,License plate should be exactly 7 characters.
47,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,12345678,Please correct the following errors,,,,,,,License plate should be exactly 7 characters.
48,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,1234567,Please correct the following errors,,,,,,,Format is : AAANNNN . A for letter and N for number.
49,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,abc1234,Please correct the following errors,,,,,,,Format is : AAANNNN . A for letter and N for number.
50,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,ABC1234,Please correct the following errors,,,,,,,You already have a user account associated with this license plate number.
51,eight888,1005555555,user,pa44word$,1234567890,correct.email@uta.edu,AAA2222,,,,,,,,
52,eight888,1005555555,admin,pa44word$,1234567890,correct.email@uta.edu,AAA1111,,,,,,,,
53,eight888,1005555555,manager,pa44word$,1234567890,correct.email@uta.edu,AAA1111,,,,,,,,
54,eight888,1005555555,manager,pa44word$,1234567890,correct.email@uta.edu,ABC1234,,,,,,,,
